course,rank_type,score,n,rank
ACC 6400 Advanced Tax Business Entities,core_rank,2.400000,55,1
ACC 6300 Data Analytics,core_rank,3.545455,55,2
ACC 6560 Financial Theory & Research I,core_rank,4.472727,55,3
ACC 6060 Professionalism and Leadership,core_rank,4.690909,55,4
ACC 6510 Financial Audit,core_rank,4.818182,55,5
ACC 6600 Business Law for Accountants,core_rank,5.090909,55,6
ACC 6350 Management Control Systems,core_rank,5.127273,55,7
ACC 6540 Professional Ethics,core_rank,5.854545,55,8
ACC 6020,rating,5.000000,5,1
ACC 679R,rating,4.576923,26,2
ACC 6600,rating,4.272727,11,3
ACC 6410,rating,4.250000,4,4
ACC 6150,rating,4.142857,28,5
ACC 6250,rating,3.833333,24,6
ACC 6350,rating,3.692308,13,7
ACC 6140,rating,3.684211,19,8
